category,rank,team,country,points,era_points,matches,ppg,record,gf,ga,gd,competitions
"Tercera division",18,"PSG","🇪🇺",3,3.00,7,0.429,"1-0-6",35,45,-10,1
"Tercera division",19,"GS Warriors","🇪🇸",3,2.79,6,0.500,"1-0-5",9,29,-20,1
"Tercera division",20,"El Pepe FC","🇪🇸",3,2.58,6,0.500,"1-0-5",15,26,-11,1
"Tercera division",21,"Zamalek CS","🇪🇬",1,0.93,3,0.333,"0-1-2",8,17,-9,1
"Tercera division",22,"Dinamo Timanfaya Next Gen","🇪🇸",1,0.86,5,0.200,"0-1-4",3,21,-18,1
"Tercera division",23,"Alianza Aguilucha","🇸🇻",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Tercera division",24,"Mint Haxball","🇪🇺",0,0.00,2,0.000,"0-0-2",1,13,-12,1
"Tercera division",25,"Alcorcón HC","🇪🇸",0,0.00,2,0.000,"0-0-2",1,15,-14,1
"Tercera division",26,"Fineta HC","🇪🇸",0,0.00,5,0.000,"0-0-5",7,33,-26,1
"Tercera division",27,"Málaga HT","🇪🇸",0,0.00,7,0.000,"0-0-7",6,37,-31,1
"Cuarta division",1,"Albacete","🇪🇸",20,20.00,8,2.500,"6-2-0",48,14,34,1
"Cuarta division",2,"Vornix City","🇪🇸",18,18.00,9,2.000,"6-0-3",37,27,10,1
"Cuarta division",3,"Dinamo Timanfaya","🇪🇸",16,16.00,8,2.000,"5-1-2",26,20,6,1
"Cuarta division",4,"Juventudes Alienígenas","🇪🇺",14,14.00,8,1.750,"4-2-2",32,30,2,1
"Cuarta division",5,"Fineta HC","🇪🇸",11,11.00,7,1.571,"3-2-2",28,13,15,1
"Cuarta division",6,"PoLish Niedzwiadki","🇵🇱",6,6.00,6,1.000,"2-0-4",18,20,-2,1
"Cuarta division",7,"Atletico de Madrid","🇪🇸",1,1.00,6,0.167,"0-1-5",7,33,-26,1
"Cuarta division",8,"Málaga HT","🇪🇸",0,0.00,3,0.000,"0-0-3",1,11,-10,1
"Cuarta division",9,"HC Los F","🇪🇸",0,0.00,5,0.000,"0-0-5",3,32,-29,1
"Copa",1,"Knattspyrnufélag Reykjavíkur","🇪🇺",51,46.80,18,2.833,"17-0-1",115,28,87,4
"Copa",2,"QS Assurdi","🇮🇹",24,18.75,14,1.714,"8-0-6",62,51,11,6
"Copa",3,"Gamberritos FC","🇪🇺",24,17.07,8,3.000,"8-0-0",40,15,25,3
"Copa",4,"Cemisgezek United","🇹🇷",24,16.44,13,1.846,"8-0-5",52,30,22,5
"Copa",5,"La Mamá de Nico","🇪🇸",21,19.32,11,1.909,"7-0-4",55,40,15,3
"Copa",6,"Vinotinto","🇪🇸",15,15.00,8,1.875,"5-0-3",36,29,7,2
"Copa",7,"L4st Dance","🇹🇷",15,11.01,5,3.000,"5-0-0",24,10,14,2
"Copa",8,"Deportivo Reyes","🇪🇸",14,13.16,12,1.167,"4-2-6",51,49,2,5
"Copa",9,"Ghost Town","🇹🇷",12,11.16,4,3.000,"4-0-0",33,8,25,1
"Copa",10,"Old Farts","🇪🇺",12,10.74,7,1.714,"4-0-3",26,26,0,3
"Copa",11,"Maximilian FC","🇹🇷",12,9.90,7,1.714,"4-0-3",43,32,11,4
"Copa",12,"River Plate","🇹🇷",12,9.69,6,2.000,"4-0-2",22,16,6,2
"Copa",13,"Haxlock All Stars","🇮🇹",12,9.06,6,2.000,"4-0-2",21,10,11,2
